사용월,호선명,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
,,,승차,하차,승차,하차
2023-03,5호선,서대문,"20,194","78,307","25,882","183,602"
2023-03,5호선,광화문(세종문화회관),"9,590","87,289","15,128","289,897"
2023-03,5호선,종로3가,"3,164","14,757","5,603","44,884"
2023-03,5호선,을지로4가,"1,983","19,283","3,543","47,556"
2023-03,5호선,동대문역사문화공원(DDP),"1,695","9,945","3,117","32,756"
2023-03,5호선,청구,"7,714","4,404","12,282","16,077"
2023-03,5호선,신금호,"23,099","10,565","30,864","13,836"
2023-03,5호선,행당,"35,259","5,286","46,928","9,888"
2023-03,5호선,왕십리(성동구청),"6,658","6,523","9,407","20,044"
2023-03,5호선,마장,"17,094","6,668","21,740","17,444"
2023-03,5호선,답십리,"59,857","15,262","80,022","36,813"
2023-03,5호선,장한평,"59,096","24,671","81,674","69,718"
2023-03,5호선,군자(능동),"37,015","8,917","50,349","29,864"
2023-03,5호선,아차산(어린이대공원후문),"46,132","16,767","63,003","31,603"
2023-03,5호선,광나루(장신대),"44,426","18,859","49,784","37,741"
2023-03,5호선,천호(풍납토성),"31,468","20,504","39,631","43,711"
2023-03,5호선,강동,"61,126","31,109","73,287","51,666"
2023-03,5호선,길동,"24,383","8,290","28,346","18,736"
2023-03,5호선,굽은다리(강동구민회관앞),"40,215","6,501","39,916","15,480"
2023-03,5호선,명일,"39,803","7,521","35,757","14,480"
2023-03,5호선,고덕,"34,351","19,079","28,484","18,436"
2023-03,5호선,상일동,"83,928","13,360","60,855","17,055"
2023-03,5호선,둔촌동,"27,394","11,226","30,102","20,521"
2023-03,5호선,올림픽공원(한국체대),"13,485","7,619","13,370","12,429"
2023-03,5호선,방이,"21,107","9,265","19,360","26,292"
2023-03,5호선,오금,"9,159","10,621","8,637","22,275"
2023-03,5호선,개롱,"26,469","8,224","24,416","16,922"
2023-03,5호선,거여,"54,259","10,367","48,448","19,166"
2023-03,5호선,마천,"48,275","5,343","36,833","12,104"
2023-03,5호선,강일,"27,078","5,270","24,528","8,311"
2023-03,5호선,미사,"76,417","12,979","71,826","25,893"
2023-03,5호선,하남풍산,"11,403","7,194","12,976","17,642"
2023-03,5호선,하남시청(덕풍·신장),"29,071","6,719","27,229","16,656"
2023-03,5호선,하남검단산,"25,353","5,819","22,852","13,332"
2023-03,6호선,응암,"77,338","11,114","96,556","18,130"
